Antonym,Name,Rank
MMCN,ACM/SPIE Multimedia Computing and Networking,A
MOBIHOC,ACM Symposium of Mobile and Ad Hoc Computing,A
Mobiquitous,International Conference on Mobile and Ubiquitous Systems: Networks and Services,A
NAACL,North American Association for Computational Linguistics,A
NDSS,Usenix Network and Distributed System Security Symposium,A
NOSSDAV,Network and OS Support for Digital A/V,A
OCIS,AoM Organizational Communication and Information Systems,A
PACIS,Pacific Asia Conference on Information Systems,A
PACT,International Conference on Parallel Architecture and Compilation Techniques,A
PAKDD,Pacific Asia Conference on Knowledge Discovery and Data Mining,A
PG,Pacific Conference on Computer Graphics and Applications,A
PKDD,European Conference on Principles and Practice of Knowledge Discovery in Databases,A
PPoPP,Principles and Practice of Parallel Programming,A
PPSN,Parallel Problem Solving from Nature,A
QoSA,Conference on the Quality of Software Architectures,A
RANDOM,International Workshop on Randomization and Computation,A
RE,IEEE International Requirements Engineering Conference,A
RST,International Conference on Reliable Software Technologies,A
StiP,IEEE Symposium on Security and Privacy,A
SAS,Static Analysis Symposium,A
SAT,International Conference on Theory and Applications of Satisfiability Testing,A
SC,ACM/IEEE Supercomputing Conference,A
SCC,IEEE International Conference on Services Computing,A
SCG,ACM Symposium on Computational Geometry,A
SDM,SIAM International Conference on Data Mining,A
SecureCom,International Conference on Security and Privacy for Communication Networks,A
SIGCOMM,"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",A
SIGCSE,ACM Special Interest Group on Computer Science Education Conference,A
SPAA,Symposium on Parallelism in Algorithms and Architectures,A
SRDS,Symposium on Reliable Distributed Systems,A
SSDBM,International Conference on Scientific and Statistical Data Base Management,A
SSPR,Structural and Syntactical Pabern Recognition,A
TABLEAUX,International Conference on Theorem Proving with Analytic Tableaux and Related Methods,A
TACAS,Tools and Algorithms for Construction and Analysis of Systems,A
TARK,Theoretical Aspects of Rationality and Knowledge,A
TCC,Theory of Cryptography Conference,A
TEI,"Tangible, Embedded, and Embodied Interaction",A
TIME,International Symposium on Temporal Representation and Reasoning,A
TPHOLs,International Conference on Theorem Proving in Higher Order Logics (will be ITP from 2010),A
TrustCom,IEEE/IFIP International Symposium on Trusted Computing and Communications,A
UIST,ACM Symposium on User Interface Software and Technology,A
USENIX,Usenix Annual Technical Conference,A
USENIXSecurity,Usenix Security Symposium,A
VEE,International Conference on Virtual Execution Environments,A
VL/HCC,IEEE Symposium on Visual Languages and Human Centric Computing (was VL),A
VRST,ACM Virtual Reality Software and Technology,A
WACV,IEEE Workshop on Applications of Computer Vision,A
WADS,Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),A
WG,International Workshop on Graph Theoretic Concepts in Computer Science,A
WICSA,IEEE/IFIP Working Conference on Software Architecture (now with ECSA),A
WISE,International Conference on Web Information Systems Engineering,A
Coding,IMA International Conference on Cryptography and,B
Conference,Australian Digital Forensics,B
Conference,Australian Information Security Management,B
3DUI,IEEE Symposium on 3D User Interfaces,B
AAAAECC,"International Symposium on Applied Algebra, Algebraic Algorithms and Error Correcting Codes",B
ACAL,Australian Conference on Artificial Life,B
ACCV,Asian Conference on Computer Vision,B
ACE,Australasian Conference on Computer Science Education,B
ACISP,Australasian Conference on Information Security and Privacy,B
ACIVS,Advanced Concepts for Intelligent Vision Systems,B
ACKMIDS,Australian Conference for Knowledge Management and Intelligent Decision Support,B
CPR,ACM SIGMIS CPR Conference ACMSIGMIS,B
ACNS,International Conference on Applied Cryptography and Network Security,B
ACRA,Australasian Conference on Robotics and Automation,B
ACSAC,Australasian Computer Systems Architecture Conference (now Asia Pacific Computer Systems Architecture Conference),B
ACSC,Australasian Computer Science Conference,B
ACSD,Application of Concurrency to System Design,B
ADBIS,Symposium on Advances in DB and Information Systems,B
ADC,Australasian Database Conference,B
AdCom,International Conference on Advanced Computing and Communications,B
ADMA,International Conference on Advanced Data Mining and Applications,B
ADMI,International Workshop on Agents and Data Mining Interaction,B
ADTI,International Symposium on Advanced DB Technologies and Integration,B
Agile,Conference on Agile Software Development,B
AI,Australasian Joint Conference on Artificial Intelligence,B
AI*IA,Congress of the Italian Assoc for AI,B
AINA,International Conference on Advanced Information Networking and Applications (was ICOIN),B
AISC,Australasian Information Security Conference,B
AISTA,International Conference on Advances in Intelligent Systems: Theory and Applications,B
AISTATS,International Conference on Artificial Intelligence and Statistics,B
ALP,International Conference on Algebraic and Logic Programming,B
AMTA,Conference of the Association for Machine Translation in the Americas,B
ANALCO,Workshop on Analytic Algorithms and Combinatorics,B
ANNIE,Artificial Neural Networks in Engineering Conference,B
ANTS,International Workshop on Ant Colony,B
AofA,Conference on Analysis of Algorithms,B
AOIS,Agent Oriented Information Systems Workshop,B
APBC,Asia Pacific Bioinformatics Conference,B
APCCM,Asia Pacific Conference on Conceptual Modelling,B
APLAS,ASIAN Symposium on Programming Languages and Systems,B
ARES,"International Conference on Availability, Reliability and Security",B
AsiaCCS,"ACM Symposium on Information, Computer and Communications Security",B
ASIAN,Asian Computing Science Conference,B
ASIV,Australian Symposium on Information Visualisation,B
ASWEC,Australian Software Engineering Conference,B
AUIC,Australasian User Interface Conference,B
AusDM,Australian Data Mining Conference,B
AVI,Advanced Visual Interfaces,B
AWOCA,Australasian Workshop on Combinatorial Algorithms,B
AWRE,Australian Workshop on Requirements Engineering,B
BECC,Bled Electronic Commerce Conference,B
BIS,International Conference on Business Information Systems,B
BMVC,British Machine Vision Conference,B
BNCOD,British National Conference on Databases,B
CAADRIA,Association for Computer Aided Architectural Design Research in Asia (CAADRIA) annual conference,B
CAAI,Canadian Artificial Intelligence Conference,B
CAAN,Workshop on Combinatorial and Algorithmic Aspects of Networking,B
CAIA,Conference on Artificial Intelligence for Applications,B
CAIP,International Conference on Computer Analysis of Images and Paberns,B
CANS,International Conference on Cryptology and Network Security,B
CATAC,Cultural Altudes towards Technology and Communications,B
CATS,Computing: The Australasian Theory Symposium,B
CD,IFIP/ACM Working Conference on Component Deployment,B
CEAS,International Conference on Email and Anti Spam,B
CGI,Computer Graphics International,B
CIAA,International Conference on Implementation and Application of Automata,B
CICLING,International Conference on Intelligent Text Processing and Computational Linguistics,B
CISIS,Computational Intelligence in Security for Information Systems,B
CISTM,"Conference on Information Science, Technology and Management",B
CITB,Complexity and information theoretic approaches to biology,B
CLOUD,IEEE International Conference on Cloud Computing,B
COCOA,Conference on Combinatorial Optimization and Applications,B
COGROBO,International Cognitive Robotics Conference,B
CollECTeR,Collaborative Electronic Commerce Technology and Research,B
COMAD,International Conference on Management of Data,B
ENSE,Symposium on Logical Formalizations of Commonsense Reasoning COMMONS,B
Complexity,IEEE Conference on Computational Complexity,B
CompLife,International Symposium on Computational Life Science,B
COMPSAC,International Computer Software and Applications Conference,B
Conf IRM,International Conference on Information Resources Management,B
COPLAS,Workshop on Constraint Satisfaction for Planning and Scheduling,B
CPAIOR,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,B
CPM,Combinatorial Pabern Matching,B
CSCWD,International Conference on Computer Supported Cooperative Work in Design,B
CW,International Conference on Cyberworlds (was International Symposium on Cyberworlds),B
DAGM,Deutsche ArbeitsgemeinschaG f??r Mustererkennung DAGM e.V,B
DAIS,IFIP International Conference on Distributed Applications and Inoperable Systems,B
DALT,Declarative Agent Languages and Technologies,B
DaWaK,Data Warehousing and Knowledge Discovery,B
DBtiIS,International Baltic Conference on Databases and Information Systems,B
DBPL,Databases and Programming Language,B
DCOSS,IEEE International Conference on Distributed Computing in Sensor Systems,B
DEXA,International Conference on Database and Expert Systems Applications,B
DGO,International Conference on Digital Government Research,B
DIAGRAMS,The Theory and Application of Diagrams,B
DICTA,Digital Image Computing Techniques and Applications,B
DIMEA,ACM International Conference on Digital Interactive Media in Entertainment and Arts,B
DIS,Designing Interactive Systems,B
DLS,Dynamic Languages Symposium,B
DLT,Developments in Language Theory,B
DMTCS,International Conference on Discrete Mathematics and Theoretical Computer Science,B
DNA,International Meeting on DNA Computing and Molecular Programming,B
DOLAP,International Workshop on Data Warehousing and OLAP,B
DSOM,IFIP/IEEE International Workshop on Distributed Systems Operations and Management,B
DUX,Design for User Experience,B
EAMT,Conference of the European Association for Machine Translation,B
EC,ACM Conference on Electronic Commerce,B
ECAL,European Conference on Artificial Life,B
ECCB,European Conference on Computational Biology,B
ECIR,European Conference on Information Retrieval,B
ECSCW,European Conference on Computer Supported Cooperative Work,B
ECWeb,International Conference on Electronic Commerce and Web Technology,B
EDM,Educational Data Mining,B
EDOC,IEEE International Enterprise Distributed Object Computing Conference,B
EGPGV,Eurographics Symposium on Parallel Graphics and Visualization,B
EGVE,Eurographics Symposium on Virtual Environments,B
EKAW,International Conference on Knowledge Engineering and Knowledge Management,B
EKM,European Conference on Knowledge Management,B
EMCIS,"European, Mediterranean and Middle Eastern Conference on Information Systems",B
ENASE,International Conference on Evaluation of Novel Approaches to Software Engineering,B
EPIA,Portuguese Conference on Artificial Intelligence,B
P,ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming ERCIM/CSCL,B
ESANN,European Symposium on Artificial Neural Networks,B
ESEC,European Software Engineering Conference,B
ESM,European Simulation MultiConference,B
ESS,European Simulation Symposium,B
ETHICOMP,ETHICOMP Conference,B
EuAda,Ada Europe International Conference on Reliable Software Technologies,B
EUROGP,European Conference on Genetic Programming,B
EuroNLG,European Natural Language Generation Workshop,B
EUROPKI,European PKI Workshop: Theory and Practice,B
EuroPLop,European Conference on Pabern Languages of Programs,B
EuroSPI,European SPI,B
EuroVis,Eurographics/IEEE Symposium on Visualization,B
FASE,Fundamental Approaches to Software Engineering,B
FAW,International Frontiers of Algorithmics Workshop,B
FCKAML,French Conference on Knowledge Acquisition and Machine Learning,B
FEM,International Conference on Formal Engineering Methods,B
FINCRY,Financial Cryptography,B
FLINS,International Fuzzy Logic and Intelligent technologies in Nuclear Science Conference,B
FPSAC,Formal Power Series and Algebraic Combinatorics,B
FSE,International Workshop on Fast Software Encryption,B
FSTtiTCS,Foundations of Software Technology and Theoretical Computer Science,B
FTP,International Workshops on First Order Theorem Proving,B
FUN,Conference on Fun with Algorithms,B
GDN,International Conference of Society for Group Decision and Negotiation,B
GI,Graphics Interface,B
GITMA,Global Information Technology Management Association World Conference,B
GMP,Geometry Modeling and Processing,B
GPCE,International Conference on Generative Programming and Component Engineering,B
Group,ACM Special Interest Group on Supporting Group Work (was SIGGRoup),B
HASE,IEEE International Symposium on High Assurance Systems Engineering,B
HCW,Heterogeneity in Computing Workshop,B
HDKM,Australasian Workshop on Health Data and Knowledge Management,B
HOTI,IEEE Symposium on High Performance Interconnects,B
HotPower,Workshop on Power Aware Computing and Systems,B
HotWeb,IEEE Workshop on Hot Topics in Web Systems and Technologies,B
Asia,International Conference and Exhibition on High Performance Computing in the Asia Pacific Region HPC,B
HPCC,IEEE International Conference on High Performance Computing and Communications,B
HPCNCS,"International Conference on High Performance Computing, Networking and Communication Systems",B
I SPAN,"International Symposium on Parallel Architectures, Algorithms and Networks",B
IAAI,Innovative Applications in AI,B
IAWTIC,"International Conference on Intelligent Agents, Web Technologies, and Internet Commerce",B
IBIMA,International Business Information Management,B
IC,International Conference on Internet Computing,B
ICA3PP,International Conference on Algorithms and Architectures for Parallel Processing,B
ICAC,IEEE International Conference on Autonomic Computing,B
ICANN,International Conference on Artificial Neural Networks,B
ICAT,International Conference on Artificial Reality and Telexistence,B
ICATPN,International Conference on the Application and Theory of Petri Nets,B
ICCE,International Conference on Computers in Education,B
ICCS,International Conference on Conceptual Structures,B
ICDCN,International Conference on Distributed Computing and Networking,B
ICDSC,ACM/IEEE International Conference on Distributed Smart Cameras,B
ICEB,International Conference on e Business,B
ICEBE,IEEE International Conference on e Business Engineering,B
ICER,International Computing Education Research Workshop,B
ICFHR,International Conference on Frontiers of Handwriting Recognition,B
ICGA,International Conference on Genetic Algorithms,B
ICGT,International Conference on Graph Transformations,B
ICIAP,International Conference on Image Analysis and Processing,B
ICICS,International Conference on Information and Communications Security,B
ICICS,"International Conference on Information, Communications and Signal Processing",B
ICIER,International Conference on Informatics Education and Research,B
ICIP,IEEE International Conference on Image Processing,B
ICISC,International Conference on Information Security and Cryptology,B
ICISS,International Conference on Information Systems Security,B
ICME,IEEE International Conference on Multimedia and Expo,B
ICMI,International Conference on Multimodal Interfaces,B
ICMS,International Conference on Multiagent Systems,B
ICMT,International Conference on Model Transformation,B
ICNN,IEEE International Conference on Neural Networks,B
ICPADS,International Conference on Parallel and Distributed Systems,B
ICPR,International Conference on Pabern Recognition,B
ICSC,International Computer Science Conference,B
ICSoG,International Conference on Software and Data Technologies,B
ICTAC,International Colloquium on Theoretical Aspects of Computing,B
ICTAI,International Conference on Tools with Artificial Intelligence,B
ICWITS,IEEE International Conference on Wireless Information Technology and Systems,B
IDEAS,International Database Engineering and Applications Symposium,B
IE,Interactive Entertainment,B
CCNC,IEEE Consumer Communications and Networking Conference IEEE,B
DS RT,IEEE International Symposium on Distributed Simulation and Real time Applications IEEE,B
HPCS,IEEE International Conference on High Performance Computing and Simulation IEEE,B
SEC,IFIP International Information Security Conference IFIP,B
IFM,Integrated Formal Methods,B
IFSA,IFSA World Congress,B
IJCNLP,International Joint Conference on Natural Language Processing,B
ILP,Inductive Logic Programming,B
INDOCRYPT,International Conference on Cryptology in India,B
INLG,International Natural Language Generation Conference,B
Inscrypt,SKLOIS Conference on Information Security and Cryptology,B
IPCCC,IEEE International Performance Computing and Communications Conference,B
ISAIM,International Symposium on Artificial Intelligence and Maths,B
ISC,Information Security Conference,B
ISCC,IEEE Symposium on Computers and Communications,B
ISEAT,Integration of Software Engineering and Agent Technology,B
ISECON,Information Systems Education Conference,B
ISESE,International Symposium on Empirical Software Engineering,B
ISIT,IEEE International Symposium on Information Theory,B
ISITA,International Symposium on Information Theory and Its Applications,B
ISKE,International Conference on Intelligent Systems and Knowledge Engineering,B
ISMM,International Symposium on Mathematical Morphology,B
ISPA,IEEE International Symposium on Parallel and Distributed Processing with Applications,B
ISPEC,Information Security Practice and Experience Conference,B
ISTA,International Conference on Information Systems Technology and its Application,B
ITA,International Conference on Internet Technologies and Applications,B
ITW,Information Theory Workshop,B
IV,International Conference on Information Visualisation,B
IVA,Intelligent Virtual Agents,B
IVCNZ,Image and Vision Computing Conference,B
IWANN,International Work Conference on Artificial and Natural Neural Networks,B
IWCASE,International Workshop on Computer Aided Software Eng,B
IWOCA,International Workshop on Combinatorial Algorithm,B
IWP,International Workshop on Paraphrasing,B
IWPEC,International Workshop on Parameterized and Exact Computation,B
IWQoS,IEEE International Workshop on Quality of Service,B
IWSEC,International Workshop on Security,B
JMLC,Joint Modular Languages Conference,B
JSSPP,Workshop on Job Scheduling Strategies for Parallel Processing,B
KES,International Conference on Knowledge Based and Intelligent Information and Engineering Systems,B
Calling,Baltic Sea Conference on Computing Education Research Koli,B
KSEM,"International Conference on Knowledge Science, Engineering and Management",B
LATIN,International Symposium on Latin American Theoretical Informatics,B
LDTA,"Language Descriptions, Tools and Applications",B
LENLS,Logic and Engineering of Natural Language Semantics,B
LFCS,Logical Foundations of Computer Science,B
LOPSTR,International Symposium on Logic based Program Synthesis and Transformation,B
MATES,German Conference on Multi Agent system Technologies,B
MCU,Universal Machines and Computations,B
MDAI,International Conference on Modelling Decisions for Artificial Intelligence,B
MEDINFO,World Congress on Medical Informatics,B
MEGA,Methods Effectives en Geometrie Algebrique,B
MIR,ACM SIGMM International Workshop on Multimedia Information Retrieval,B
MLMI,Joint workshop on Multimodal Interaction and Related Machine Learning Algorithms (now ICMI MLMI),B
MMVR,Medicine Meets Virtual Reality,B
MobileHCI,International Conference on Human Computer Interaction with Mobile Devices and Services,B
Mobisys,"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",B
MODELS,International Conference on the Unified Modelling Language (was UML),B
MOMM,International Conference on Advances in Mobile Computing and Multimedia,B
MPC,Mathematics of Program Construction,B
MPCS,International Conference on Massively Parallel Computing Systems,B
MPPOI,Massively Parallel Processing Using Optional Interconnections,B
SUMMIT,Machine Translation Summit MT,B
NSDI,"Symposium on Networked Systems, Design and Implementation",B
NSS,International Conference on network and System Security,B
ODP,IFIP International Conference on Open Distributed Processing,B
OPODIS,International Conference on Principles of Distributed Systems,B
ORGSEM,The organizational semiotics Conference,B
OZCHI,Australian Computer Human Interaction Conference,B
OzWIT,Australian Women in IT Conference,B
PACES,Pacific Asian Conference on Expert Systems,B
PacificVis,IEEE Pacific Visualization Symposium (was APVIS),B
PACLIC,"Pacific Asia Conference on Language, Information and Computation",B
PACLING,Conference of the Pacific Association for Computational Linguistics,B
PADL,Practical Aspects of Declarative Languages,B
PADS,ACM/IEEE/SCS Workshop on Parallel and Distributed Simulation,B
PAM,Passive and Active Measurement Conference,B
PASTE,ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,B
PATAT,Practice and Theory of Automated Timetabling,B
PDC,Participatory Design Conference,B
PDCAT,"International Conference on Parallel and Distributed Computing, Applications and Technologies",B
PDPTA,International Conference on Parallel and Distributed Processing Techniques and Applications,B
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,B
Persuasive,International Conference on Persuasive Technology,B
PET,International Workshop of Privacy Enhancing Technologies,B
PKAW,Pacific Rim Knowledge Acquisition Workshop,B
PKC,International Conference/Workshop on Practice and Theory in Public Key Cryptography,B
PLOP,Pabern Languages of Programs,B
PLOS,Workshop on Programming Languages and Operating Systems,B
PPDP,International Conference on Principles and Practice of Declarative Programming,B
PPIG,Annual PPIG Workshop,B
PRDC,Pacific Rim International Symposium on Dependable Computing,B
PRESENCE,Annual International Workshop on Presence,B
PRICAI,Pacific Rim International Conference on Artificial Intelligence,B
PRIMA,Pacific Rim International Workshop on Multi Agents,B
PROFES,Product Focused Software Process Improvement,B
PROMAS,International Workshop Programming Multi Agent Systems,B
PROSim,International Workshop on Software Process Simulation and Modelling (now ICSP),B
ProvSec,International Conference on Provable Security,B
PSI,Ershov Conference,B
PSIVT,Pacific Rim Symposium on Image and Video Technology,B
QSIC,International Conference on Quality Software,B
QualIT,International Conference on Qualitative Research in IT ti IT in Qualitative Research,B
RAID,International Symposium on Recent Advances in Intrusion Detection,B
RCIS,International Conference on Research Challenges in Information Science,B
RECOMB,International Conference on Computational Molecular Biology,B
RecSys,ACM International Conference on Recommender Systems,B
REFSQ,International Workshop on Requirements Engineering: Foundation for Software Quality,B
REV,International Workshop on Requirements Engineering Visualization,B
RIDE,International Workshop on Research Issues in Data Engineering,B
RoboCup,Robot Soccer World Cup,B
