id,alias,name,clean_author_name
32,"BaoCang Ding","Baocang Ding","Baocang Ding"
33,"Lior S. Pachter","Lior Pachter","Lior Pachter"
34,"Vasyl Gafiychuk","V. V. Gafiychuk","V. V. Gafiychuk"
35,"Eva Kalyvianaki","Evangelia Kalyvianaki","Evangelia Kalyvianaki"
36,"San-Yang Liu","San Yang Liu","San Yang Liu"
37,"San-yang Liu","San Yang Liu","San Yang Liu"
38,"Sanyang Liu","San Yang Liu","San Yang Liu"
39,"Anke Marei Brock","Anke M. Brock","Anke M. Brock"
40,"Ricardo A. RamÃ­rez-Mendoza","Ricardo RamÃ­rez-Mendoza","Ricardo RamÃ­rez-Mendoza"
41,"Ricardo Ambrocio RamÃ­rez-Mendoza","Ricardo RamÃ­rez-Mendoza","Ricardo RamÃ­rez-Mendoza"
42,"Antonio Pastor Perales","Antonio Pastor 0001","Antonio Pastor"
43,"Antonio Agustin Pastor Perales","Antonio Pastor 0001","Antonio Pastor"
44,"W. Ken Redekop","William K. Redekop","William K. Redekop"
45,"Frank J. A. van Ruitenbeek","Frank van Ruitenbeek","Frank van Ruitenbeek"
46,"Degan J. Kettles","Degan Kettles","Degan Kettles"
47,"Simon David Marlow","Simon Marlow","Simon Marlow"
48,"FlÃ¡vio Luis Cardeal PÃ¡dua","FlÃ¡vio L. C. PÃ¡dua","FlÃ¡vio L. C. PÃ¡dua"
49,"Diego Pinto de Garrido","Diego P. de Garrido","Diego P. de Garrido"
50,"Mark James Weal","Mark J. Weal","Mark J. Weal"
51,"Booi Hon Kam","Booi Kam 0001","Booi Kam"
52,"Stephen Bonasera","Stephen J. Bonasera","Stephen J. Bonasera"
53,"Aleta M. Ricciardi","Aleta Ricciardi","Aleta Ricciardi"
54,"Andreas U. Mauthe","Andreas Mauthe","Andreas Mauthe"
55,"Andreas Ulrich Mauthe","Andreas Mauthe","Andreas Mauthe"
56,"Jian-Tao Zhou","Jiantao Zhou","Jiantao Zhou"
57,"Jilles Dibangoye","Jilles Steeve Dibangoye","Jilles Steeve Dibangoye"
58,"JiaJing Li 0001","Jiajing Li 0001","Jiajing Li"
59,"Larry O. Hall","Lawrence O. Hall","Lawrence O. Hall"
60,"Lawrence O'Higgins Hall","Lawrence O. Hall","Lawrence O. Hall"
61,"Dave Noveck","David B. Noveck","David B. Noveck"
62,"John Bradley Plevyak","John Plevyak","John Plevyak"
63,"Amr El-Bakry","Amr S. El-Bakry","Amr S. El-Bakry"
64,"Ke Wei","Wei Ke","Wei Ke"
65,"Vanda Nunes de Lima","Maria Vanda Nunes de Lima","Maria Vanda Nunes de Lima"
66,"M. Muthu Rama Krishnan","Muthu Rama Krishnan Mookiah","Muthu Rama Krishnan Mookiah"
67,"Andreas Karlsson","Andreas Rosenblad","Andreas Rosenblad"
68,"Andreas Karlsson Rosenblad","Andreas Rosenblad","Andreas Rosenblad"
69,"Stephen Bedrick","Steven Bedrick","Steven Bedrick"
70,"JoÃ£o Jacob","JoÃ£o Tiago Pinheiro Neto Jacob","JoÃ£o Tiago Pinheiro Neto Jacob"
71,"Julio Gonzalo Arroyo","Julio Gonzalo","Julio Gonzalo"
72,"Francis Xiatian Zhang","Xiatian Zhang 0001","Xiatian Zhang"
73,"Francisco MartÃ­nez-Gil","Francisco Martinez-Gil","Francisco Martinez-Gil"
74,"PhengAnn Heng","Pheng-Ann Heng","Pheng-Ann Heng"
75,"David Robert Martin Thompson","David R. M. Thompson","David R. M. Thompson"
76,"Neela Gopi","Gopi Neela","Gopi Neela"
77,"Dante V. Manna","Dante Manna","Dante Manna"
78,"Nikos Chrysos","Nikolaos Chrysos","Nikolaos Chrysos"
79,"Ikuko Yairi","Ikuko Eguchi Yairi","Ikuko Eguchi Yairi"
80,"Paul Julian Kersey","Paul J. Kersey","Paul J. Kersey"
81,"Mohammad A. Salahuddin 0001","Mohammad Ali Salahuddin 0001","Mohammad Ali Salahuddin"
82,"Sandip Deshmukh","S. S. Deshmukh","S. S. Deshmukh"
83,"Vladimir A. Cheverda","Vladimir A. Tcheverda","Vladimir A. Tcheverda"
84,"Shayan Mukherjee","Sayan Mukherjee 0001","Sayan Mukherjee"
85,"Syamal Kumar Dana","Syamal K. Dana","Syamal K. Dana"
86,"Donald L. S. McElwain","D. L. Sean McElwain","D. L. Sean McElwain"
87,"Mohamed Dafir Ech-Chrif El Kettani","Mohamed Dafir Ech-Cherif El Kettani","Mohamed Dafir Ech-Cherif El Kettani"
88,"Eric LefÃ¨vre","Eric Lefevre","Eric Lefevre"
89,"Florin Grigorie Barbuceanu","Florin Barbuceanu","Florin Barbuceanu"
90,"M. E. Sarabi","M. Ebrahim Sarabi","M. Ebrahim Sarabi"
91,"Duan-Bing Chen","Duanbing Chen","Duanbing Chen"
92,"Tomek Mrugalski","Tomasz Mrugalski","Tomasz Mrugalski"
93,"Ana-Maria Roxin","Ana Roxin","Ana Roxin"
94,"Chun-Heng Wang","Chunheng Wang","Chunheng Wang"
95,"Singh Umesh Kumar 0001","Umesh Kumar Singh 0001","Umesh Kumar Singh"
96,"Andreas-Nikolas GÃ¶bel","Andreas GÃ¶bel 0001","Andreas GÃ¶bel"
97,"Elisabeth Traviesas","Elisabeth Traviesas-Cassan","Elisabeth Traviesas-Cassan"
98,"Satya V. Lokam","Satyanarayana V. Lokam","Satyanarayana V. Lokam"
99,"Than-Tho Quan","Thanh Tho Quan","Thanh Tho Quan"
100,"Ahola Jari","Jari Ahola","Jari Ahola"
101,"Mustafa Ersel Kamasak","Mustafa E. Kamasak","Mustafa E. Kamasak"
102,"Julie Jespersen","Julie Jespersen-Groth","Julie Jespersen-Groth"
103,"Pradipta K. Dash","Pradipta Kishore Dash","Pradipta Kishore Dash"
104,"P. K. Dash","Pradipta Kishore Dash","Pradipta Kishore Dash"
105,"Anugrah Kusumo Pamosoaji","Anugrah K. Pamosoaji","Anugrah K. Pamosoaji"
106,"Anh T. L. Nguyen","Anh Nguyen 0001","Anh Nguyen"
107,"Richard Ormerod","Richard J. Ormerod","Richard J. Ormerod"
108,"RaÃºl Izquierdo Castanedo","RaÃºl Izquierdo","RaÃºl Izquierdo"
109,"Jangwon Lee","Jang-Won Lee","Jang-Won Lee"
110,"Leon Poutievski","Leonid B. Poutievski","Leonid B. Poutievski"
111,"David Alfred Ostrowski","David A. Ostrowski","David A. Ostrowski"
112,"Brittany Fasy","Brittany Terese Fasy","Brittany Terese Fasy"
113,"Paulo de Carvalho 0001","Paulo Carvalho 0001","Paulo Carvalho"
114,"Flavio Signorelli Mendes","Flavio S. Mendes","Flavio S. Mendes"
115,"Ezzeddine Zagrouba","Zagrouba Ezzeddine","Zagrouba Ezzeddine"
116,"Peter F. Niederer","Peter Niederer","Peter Niederer"
117,"Y.-M. Chen","Y. M. Chen","Y. M. Chen"
118,"Zhiquang Qin","Zhiguang Qin","Zhiguang Qin"
119,"Achim OÃŸwald","Achim Osswald","Achim Osswald"
120,"RÃ©mi Clavier","Remi Clavier","Remi Clavier"
121,"LuÃ­s B. Oliveira","LuÃ­s Bica Oliveira","LuÃ­s Bica Oliveira"
122,"Terrence J. Adam","Terrence Adam","Terrence Adam"
123,"Stephan MÃ¼ller 0001","Stephan von Schorlemer","Stephan von Schorlemer"
124,"Petru Notingher Jr.","Petru V. Notingher","Petru V. Notingher"
125,"Antonio Miguel Peinado Herreros","Antonio M. Peinado","Antonio M. Peinado"
126,"Ferenc Csillag","Ferko Csillag","Ferko Csillag"
127,"Nasri B. Sulaiman","Nasri Sulaiman","Nasri Sulaiman"
128,"Qiao Tong","Carol Q. Tong","Carol Q. Tong"
129,"Shahriar Baradaran Shokouhi","Shahriar B. Shokouhi","Shahriar B. Shokouhi"
130,"James Simon Pascoe","James S. Pascoe","James S. Pascoe"
131,"Leonard Denise","LÃ©onard Denise","LÃ©onard Denise"
132,"Hanns Peter JÃ¶rgl","H. Peter JÃ¶rgl","H. Peter JÃ¶rgl"
133,"Aleksandr Aleksandrovich Kolokolov","Alexander A. Kolokolov","Alexander A. Kolokolov"
134,"Ahmed F. Abdelzaher","Ahmed Abdelzaher 0001","Ahmed Abdelzaher"
135,"Edwin M. Sawan","M. Edwin Sawan","M. Edwin Sawan"
136,"Mahmoud E. Sawan","M. Edwin Sawan","M. Edwin Sawan"
137,"Mahmoud Edwin Sawan","M. Edwin Sawan","M. Edwin Sawan"
138,"Javier VÃ­a RodrÃ­guez","Javier VÃ­a","Javier VÃ­a"
139,"Clark Woodworth","C. B. Woodworth","C. B. Woodworth"
140,"Tom Meservy","Thomas O. Meservy","Thomas O. Meservy"
141,"Audrey Minghelli-Roman","Audrey Minghelli","Audrey Minghelli"
142,"Audrey Roman","Audrey Minghelli","Audrey Minghelli"
143,"Timothy M. Simon","Tim Simon","Tim Simon"
144,"Ole Andre Alsos","Ole Andreas Alsos","Ole Andreas Alsos"
145,"Liu-Qing Yang","Liuqing Yang","Liuqing Yang"
146,"LiuQing Yang","Liuqing Yang","Liuqing Yang"
147,"Rafiq Swash","Mohammad Rafiq Swash","Mohammad Rafiq Swash"
148,"JoÃ£o Paulo Carmo","JoÃ£o Paulo Pereira do Carmo","JoÃ£o Paulo Pereira do Carmo"
149,"FrÃ©dÃ©ric Nicolier","FrÃ©dÃ©ric Morain-Nicolier","FrÃ©dÃ©ric Morain-Nicolier"
150,"Fred Nicolier","FrÃ©dÃ©ric Morain-Nicolier","FrÃ©dÃ©ric Morain-Nicolier"
151,"Francisco Javier RodrÃ­guez","Francisco J. RodrÃ­guez 0001","Francisco J. RodrÃ­guez"
152,"Francisco Javier RodrÃ­guez Sanchez","Francisco J. RodrÃ­guez 0001","Francisco J. RodrÃ­guez"
153,"Fernando Jorge F. Duarte","F. Jorge F. Duarte","F. Jorge F. Duarte"
154,"Hans Henrik Niemann","Henrik Niemann","Henrik Niemann"
155,"Jangwon Lee 0001","Jang-Won Lee 0001","Jang-Won Lee"
156,"Mohammad H. Moradi 0001","Mohammad Hassan Moradi 0001","Mohammad Hassan Moradi"
157,"Ryad Zemouri","Ryad A. Zemouri","Ryad A. Zemouri"
158,"Jian-Tao Zhou 0002","Jiantao Zhou 0002","Jiantao Zhou"
159,"Jian-tao Zhou 0002","Jiantao Zhou 0002","Jiantao Zhou"
160,"Daniel Sa Pina","Daniel Pina","Daniel Pina"
161,"Dong-Jian Yue","Dongjian Yue","Dongjian Yue"
162,"Tad Stewart Sonstegard","Tad S. Sonstegard","Tad S. Sonstegard"
163,"Daniel Y. T. Goh","Daniel Yam Thiam Goh","Daniel Yam Thiam Goh"
164,"Anwar K. Al-Yatama","Anwar Alyatama","Anwar Alyatama"
165,"Robert Rallo Moya","Robert Rallo","Robert Rallo"
166,"Rob Quick","Robert Quick","Robert Quick"
167,"Miguel Almonacid","Miguel Almonacid Kroeger","Miguel Almonacid Kroeger"
168,"Trym Haavardsholm","Trym Vegard Haavardsholm","Trym Vegard Haavardsholm"
169,"Juan Segovia Silvero","Juan Segovia","Juan Segovia"
170,"Anatoly O. Melnyk","Anatoliy O. Melnyk","Anatoliy O. Melnyk"
171,"AntÃ³nio Calado Lopes","AntÃ³nio Calado","AntÃ³nio Calado"
172,"Hemanta Kumar Maji","Hemanta K. Maji","Hemanta K. Maji"
173,"Merlin Teodosia C. Suarez","Merlin Suarez","Merlin Suarez"
174,"FlÃ¡vio Soares CorrÃªa da Silva","FlÃ¡vio S. CorrÃªa da Silva","FlÃ¡vio S. CorrÃªa da Silva"
175,"YiJun Li","Yijun Li","Yijun Li"
176,"Yi-jun Li","Yijun Li","Yijun Li"
177,"Yi-Jun Li","Yijun Li","Yijun Li"
178,"Alberto Leopoldo MorÃ¡n y Solares","Alberto L. MorÃ¡n","Alberto L. MorÃ¡n"
179,"NÃºria Pelechano GÃ³mez","Nuria Pelechano","Nuria Pelechano"
180,"Diana R. Cukierman","Diana Cukierman","Diana Cukierman"
181,"Renan Moritz Varnier R. Almeida","Renan Moritz V. R. Almeida","Renan Moritz V. R. Almeida"
182,"Renan Moritz Varnier Rodrigues de Almeida","Renan Moritz V. R. Almeida","Renan Moritz V. R. Almeida"
183,"Yuqing Yang 0002","YuQing Yang 0002","YuQing Yang"
184,"Andrew R. Mayer","Andy R. Mayer","Andy R. Mayer"
185,"Yi Liu Liu","Yiliu Liu","Yiliu Liu"
186,"Tom E. Simos","Theodore E. Simos","Theodore E. Simos"
187,"T. E. Simos","Theodore E. Simos","Theodore E. Simos"
188,"Lisandro Zambenedetti Granville","Lisandro Z. Granville","Lisandro Z. Granville"
189,"Daniel Charles Ferreira Porto","Daniel Porto 0002","Daniel Porto"
190,"Herb Fry","Herbert A. Fry","Herbert A. Fry"
191,"Greg Blekherman","Grigoriy Blekherman","Grigoriy Blekherman"
192,"Maria P. Jarabo-Amores","MarÃ­a-Pilar Jarabo-Amores","MarÃ­a-Pilar Jarabo-Amores"
193,"Pilar Jarabo Amores","MarÃ­a-Pilar Jarabo-Amores","MarÃ­a-Pilar Jarabo-Amores"
194,"D. R. W. Holton","Robert Holton","Robert Holton"
195,"Chunxia Dou","Chun-xia Dou","Chun-xia Dou"
196,"Abdul Q. M. Khaliq","Abdul-Qayyum M. Khaliq","Abdul-Qayyum M. Khaliq"
197,"A. Q. M. Khaliq","Abdul-Qayyum M. Khaliq","Abdul-Qayyum M. Khaliq"
198,"Rubens Augusto Camargo Lamparelli","Rubens A. C. Lamparelli","Rubens A. C. Lamparelli"
199,"Gustavo Alberto Rovelo Ruiz","Gustavo Rovelo","Gustavo Rovelo"
200,"Suraj Rajappan Nair","Suraj Nair 0001","Suraj Nair"
201,"Derya Ã–zÃ§elik","Derya Ã–zÃ§elik Buskermolen","Derya Ã–zÃ§elik Buskermolen"
202,"Tatiane M. Nogueira","Tatiane Nogueira Rios","Tatiane Nogueira Rios"
203,"Tatiane Marques Nogueira","Tatiane Nogueira Rios","Tatiane Nogueira Rios"
204,"Tatiane Nogueira 0001","Tatiane Nogueira Rios","Tatiane Nogueira Rios"
205,"Yi-Fan Chen 0003","Yifan Chen 0003","Yifan Chen"
206,"Moustafa A. Youssef 0001","Moustafa Youssef 0001","Moustafa Youssef"
207,"Moustafa Amin Youssef","Moustafa Youssef 0001","Moustafa Youssef"
208,"Mahamat Hissein Guiagoussou","Mahamat Guiagoussou","Mahamat Guiagoussou"
209,"S. Thomas Christie","Thomas Christie","Thomas Christie"
210,"Volker GlÃ¶ckel","Volker Gloeckel","Volker Gloeckel"
211,"Fei (Thomas) Wang","Fei Wang 0006","Fei Wang"
212,"Xiao-Kang Liu 0001","Xiaokang Liu 0001","Xiaokang Liu"
213,"Ghada Nasr Aly Hassan","Ghada Hassan","Ghada Hassan"
214,"Thi Anh Ngoc Nguyen 0001","Anh Nguyen 0004","Anh Nguyen"
215,"Dallas W. Wood","Dallas Wood","Dallas Wood"
216,"Grace Rumantir","Grace W. Rumantir","Grace W. Rumantir"
217,"Nam-Do Kim","Namdo Kim","Namdo Kim"
218,"Hong-Xia Wang","Hongxia Wang","Hongxia Wang"
219,"Fred Wang","Fei Wang 0045","Fei Wang"
220,"Fei Fred Wang","Fei Wang 0045","Fei Wang"
221,"Ã“scar PÃ©rez Concha","Ã“scar PÃ©rez","Ã“scar PÃ©rez"
222,"Youngcheol Park","Young-Cheol Park","Young-Cheol Park"
223,"Achilles D. Kameas","Achilles Kameas","Achilles Kameas"
224,"Achilleas Kameas","Achilles Kameas","Achilles Kameas"
225,"Francisco Mur","Francisco Mur Perez","Francisco Mur Perez"
226,"C. Patvardhan 0001","Chellapilla Patvardhan","Chellapilla Patvardhan"
227,"Alexander HasenfuÃŸ","Alexander Hasenfuss","Alexander Hasenfuss"
228,"Mercy Nduta","Mercy Nduta Waihumbu","Mercy Nduta Waihumbu"
229,"Bader A. Ali","Bader Ali","Bader Ali"
230,"Bassel S. Tawfik","Bassel Tawfik","Bassel Tawfik"
231,"Abdel-Karim Al-Tamimi","Abdel Karim Al Tamimi","Abdel Karim Al Tamimi"
232,"George DiedrichGristede","George Gristede","George Gristede"
233,"Sanjay Kumar Dhurandher","Sanjay K. Dhurandher","Sanjay K. Dhurandher"
234,"Ho-Kyoung Lee","Ho Kyoung Lee","Ho Kyoung Lee"
235,"Mina C. Johnson-Glenberg","Mina Johnson-Glenberg","Mina Johnson-Glenberg"
236,"Mina Johnson","Mina Johnson-Glenberg","Mina Johnson-Glenberg"
237,"Jenilyn L. Agapito","Jenilyn Agapito","Jenilyn Agapito"
238,"Andrzej J. Przekwas","Andrzej Przekwas","Andrzej Przekwas"
239,"Maria Paula Queluz","Tiago Rosa Maria Paula Queluz","Tiago Rosa Maria Paula Queluz"
240,"Paula Queluz","Tiago Rosa Maria Paula Queluz","Tiago Rosa Maria Paula Queluz"
241,"Rui Carlos Camacho","Rui Camacho","Rui Camacho"
242,"Thiago Souto Maior Cordeiro de Farias","Thiago S. M. C. de Farias","Thiago S. M. C. de Farias"
243,"Kondreddi Sarath Kumar","Sarath Kumar Kondreddi","Sarath Kumar Kondreddi"
244,"Abdesslam Benzinou","Abdessalam Benzinou","Abdessalam Benzinou"
245,"Wesley Patrick Chan","Wesley P. Chan","Wesley P. Chan"
246,"Juan Francisco Duque-Carrillo","J. Francisco Duque-Carrillo","J. Francisco Duque-Carrillo"
247,"Juan F. Duque","J. Francisco Duque-Carrillo","J. Francisco Duque-Carrillo"
248,"Elizabeth Patitsas","Elizabeth Ann Patitsas","Elizabeth Ann Patitsas"
249,"Oscar Barambones Caramazana","Oscar Barambones","Oscar Barambones"
250,"Wen-Tao Zhu","Wen Tao Zhu","Wen Tao Zhu"
251,"Zhi-Hua Zhang","Zhihua Zhang","Zhihua Zhang"
252,"Javier Marcello-Ruiz","Javier Marcello","Javier Marcello"
253,"R. Desetti","D. T. V. Ramakrishna Rao","D. T. V. Ramakrishna Rao"
254,"Ramakrishna Rao Desetti T. V.","D. T. V. Ramakrishna Rao","D. T. V. Ramakrishna Rao"
255,"George N. Reeke","George N. Reeke Jr.","George N. Reeke Jr."
256,"Adrianus Teunis de Hoop","Adrianus T. de Hoop","Adrianus T. de Hoop"
257,"Gibeon S. Aquino Jr.","Gibeon Aquino","Gibeon Aquino"
258,"Gibeon Soares de Aquino JÃºnior","Gibeon Aquino","Gibeon Aquino"
259,"Gibeon Soares de Aquino Jr.","Gibeon Aquino","Gibeon Aquino"
260,"Leyla J. GarcÃ­a","Leyla Jael Castro","Leyla Jael Castro"
261,"Leyla Jael GarcÃ­a Castro","Leyla Jael Castro","Leyla Jael Castro"
262,"Jia Feng","Feng Jia","Feng Jia"
263,"Raimi Ayinde Rufai","Raimi A. Rufai","Raimi A. Rufai"
264,"L. C. Hobbs","Linder Charlie Hobbs","Linder Charlie Hobbs"
265,"Hong-Xia Wang 0001","Hongxia Wang 0001","Hongxia Wang"
266,"Lawrence Chun-Man Mak","Chun-Man Mak","Chun-Man Mak"
267,"Kevin Lebrigand","Kevin Le Brigand","Kevin Le Brigand"
268,"Francisco Javier Cazorla-Almeida","Francisco J. Cazorla","Francisco J. Cazorla"
269,"Joseph Paul Zimmerman","Joe Zimmerman","Joe Zimmerman"
270,"Frank T. Werner","Frank Werner 0005","Frank Werner"
271,"Agnieszka Rudek","Agnieszka Wielgus","Agnieszka Wielgus"
272,"Mary Bernardine Dias","M. Bernardine Dias","M. Bernardine Dias"
273,"Peter R. Culmer","Peter Culmer","Peter Culmer"
274,"Andy Wong","Alexander Wong","Alexander Wong"
275,"Sonia Sharma","Sonia 0001",Sonia
276,"Astrid Marieke Rosenthal-von der PÃ¼tten","Astrid M. Rosenthal-von der PÃ¼tten","Astrid M. Rosenthal-von der PÃ¼tten"
277,"Astrid M. von der PÃ¼tten","Astrid M. Rosenthal-von der PÃ¼tten","Astrid M. Rosenthal-von der PÃ¼tten"
278,"Mohanan P.","P. Mohanan","P. Mohanan"
279,"Mohanan Pezholil","P. Mohanan","P. Mohanan"
280,"Kun-Huang Huarng","Kunhuang Huarng","Kunhuang Huarng"
281,"Alejandro Flores 0001","Alejandro Flores-Velazco","Alejandro Flores-Velazco"
282,"Alexander I. Lvovsky","A. I. Lvovsky 0001","A. I. Lvovsky"
283,"Geoff Goodell","Geoffrey Goodell","Geoffrey Goodell"
284,"Gonzalo Galiano","Gonzalo Galiano Casas","Gonzalo Galiano Casas"
285,"Javier R. Fonollosa","Javier RodrÃ­guez Fonollosa","Javier RodrÃ­guez Fonollosa"
286,"Al Crouch","Alfred L. Crouch","Alfred L. Crouch"
287,"Juan LÃ­maco","Juan Bautista LÃ­maco Ferrel","Juan Bautista LÃ­maco Ferrel"
288,"U. Qasim","Umar Qasim","Umar Qasim"
289,"Hassin Douzi","Hassan Douzi","Hassan Douzi"
290,"Fabricio B. Goncalves","FabrÃ­cio Barros GonÃ§alves","FabrÃ­cio Barros GonÃ§alves"
291,"S. Pourya Hoseini A.","Pourya Hoseini","Pourya Hoseini"
292,"Seyed Pourya Hoseini Alinodehi","Pourya Hoseini","Pourya Hoseini"
293,"Boonchana Phurahong","Boonchana Purahong","Boonchana Purahong"
294,"Martine LiÃ©nard","Martine Lienard","Martine Lienard"
295,"Sergio Cubero-Torres","Sergio Cubero","Sergio Cubero"
296,"Joaquim Melo Henriques de Macedo","Joaquim Macedo 0001","Joaquim Macedo"
297,"Steven S. R. Weller","Steven R. Weller","Steven R. Weller"
298,"Luis Miguel Lopez-Ramos","Luis M. Lopez-Ramos","Luis M. Lopez-Ramos"
299,"ZhiHao Wang","Zhihao Wang","Zhihao Wang"
300,"Zhi-hao Wang","Zhihao Wang","Zhihao Wang"
301,"Zhi-Hao Wang","Zhihao Wang","Zhihao Wang"
302,"Haider Abbas F. Almurib","Haider A. F. Almurib","Haider A. F. Almurib"
303,"Josep Carmona Vargas","Josep Carmona 0001","Josep Carmona"
304,"Joerg Kalwa","JÃ¶rg Kalwa","JÃ¶rg Kalwa"
305,"Gail Sheridan Peters","Gail S. Peters","Gail S. Peters"
306,"Wesley Vagner InÃªs Shirabayashi","Wesley V. I. Shirabayashi","Wesley V. I. Shirabayashi"
307,"Carlos Aliagas","Carles Aliagas","Carles Aliagas"
308,"Ali Amer 0001","Ali Amer Alwan","Ali Amer Alwan"
309,"Trinidad Sansaloni","T. Sansaloni","T. Sansaloni"
310,"Trinidad Sansaloni Balaguer","T. Sansaloni","T. Sansaloni"
311,"Ir Khairul Azman Ahmad","Khairul Azman Ahmad","Khairul Azman Ahmad"
312,"Gregory E. Dermer","Greg Dermer","Greg Dermer"
313,"Juan JosÃ© Ramos-MuÃ±oz","Juan J. Ramos-MuÃ±oz","Juan J. Ramos-MuÃ±oz"
314,"Jasmin Christian Blanchette","Jasmin Blanchette","Jasmin Blanchette"
315,"Byung-Bok Lee","Byung-Bog Lee","Byung-Bog Lee"
316,"MarÃ­a Carmen Carnero","MarÃ­a Del Carmen Carnero Moya","MarÃ­a Del Carmen Carnero Moya"
317,"M. Carmen Carnero","MarÃ­a Del Carmen Carnero Moya","MarÃ­a Del Carmen Carnero Moya"
318,"Miquel J. Roca-Adrover","Miquel Roca 0001","Miquel Roca"
319,"Ben Leimkuhler","Benedict J. Leimkuhler","Benedict J. Leimkuhler"
320,"Pedro Miguel Sousa 0002","Pedro Sousa 0002","Pedro Sousa"
321,"Aleksander M. Andronov","Alexander M. Andronov","Alexander M. Andronov"
322,"Yasuhiro Matsumoto Kuwabara","Yasuhiro Matsumoto","Yasuhiro Matsumoto"
323,"M. K. Tay","Christopher Tay Meng Keat","Christopher Tay Meng Keat"
324,"Myung Jin Bae 0001","Myung-Jin Bae 0001","Myung-Jin Bae"
325,"MyungJin Bae 0001","Myung-Jin Bae 0001","Myung-Jin Bae"
326,"Xing-Gang Luo","Xinggang Luo","Xinggang Luo"
327,"E. J. R. Koper","Rob Koper","Rob Koper"
328,"Qilun Zheng","Qi Lun Zheng","Qi Lun Zheng"
329,"Gladston Moreira","Gladston J. P. Moreira","Gladston J. P. Moreira"
330,"Gladston Juliano Prates Moreira","Gladston J. P. Moreira","Gladston J. P. Moreira"
331,Miraj-E-Mostafa,"A. Miraj-E-Mostafa","A. Miraj-E-Mostafa"
332,"Miraj Mostafa","A. Miraj-E-Mostafa","A. Miraj-E-Mostafa"
333,"Panteleimon Papadopoulos","Pantelis M. Papadopoulos","Pantelis M. Papadopoulos"
334,"Silvia Uribe Mayoral","Silvia Uribe","Silvia Uribe"
335,"Daniel F. Coutinho","Daniel Ferreira Coutinho","Daniel Ferreira Coutinho"
336,"Wan Khairunizam Wan Ahmad","Wan Khairunizam","Wan Khairunizam"
337,"Daniel Kane 0001","Daniel M. Kane","Daniel M. Kane"
338,"Joshua En-Yuan Lee","Joshua E.-Y. Lee","Joshua E.-Y. Lee"
339,"Mohammad Javad Rashti","Mohammad J. Rashti","Mohammad J. Rashti"
340,"Zhi-Wei He 0004","Zhiwei He 0004","Zhiwei He"
341,"Carlos A. Ramos 0001","Carlos Ramos 0001","Carlos Ramos"
342,"D. Shmilovitz","Doron Shmilovitz","Doron Shmilovitz"
343,"Sanjeev Kulkarni 0001","Sanjeev R. Kulkarni","Sanjeev R. Kulkarni"
344,"Ana Shirley Ferreira da Silva","Ana Silva 0001","Ana Silva"
345,"Miguel A. GarzÃ³n","Miguel GarzÃ³n","Miguel GarzÃ³n"
346,"Roland G. Wilson","Roland Wilson","Roland Wilson"
347,"Danilo F. S. Santos","Danilo Santos 0001","Danilo Santos"
